MonitoringLocationID,notation,ActivityStartDate,ResultValue
AL07NB0001,11,4/25/00,2.70
AL07NB0001,11,7/29/01,9.20
NW10LA0003,9,1/7/03,4.90
AL07NB0001,11,4/20/03,1.60
AL07NB0001,11,7/27/03,8.10
NW10LA0003,9,4/14/04,18.30
AL07NB0001,11,4/16/04,13.30
NW10LA0003,9,6/10/04,16.80
NW10LA0003,9,1/13/05,4.60
NW10LA0003,9,1/13/05,4.60
AL07NB0001,11,4/6/05,6.90
AL07NB0001,11,4/6/05,6.90
NW10LA0003,9,9/9/05,5.00
NW10LA0003,9,3/22/06,12.60
AL07NB0001,11,5/4/06,5.50
NW10LA0003,9,8/11/06,4.10
NW10LA0003,9,10/19/06,4.20
NW10LA0003,9,1/16/07,3.30
NW10LA0003,9,7/3/07,4.90
NW10LA0003,9,2/27/08,1.50
NW10LA0003,9,2/8/09,4.30
AL07NB0001,11,10/1/09,4.70
AL07NB0001,11,12/9/09,5.60
NW10LA0003,9,3/1/10,4.60
AL07NB0001,11,4/28/10,3.20
AL07NB0001,11,6/14/10,9.60
AL07NB0001,11,7/29/10,6.20
AL07NB0001,11,6/12/12,7.90
NW10LA0003,9,6/20/12,8.80
NW07QA0004,12,7/16/12,10.90
NW07OB0002,8,7/18/12,30.10
AL07NB0001,11,7/26/12,8.80
PRV-U/S2,2,9/2/12,5.60
RES-SR,4,10/22/12,6.90
AL07NB0001,11,2/28/13,3.50
AL07NB0001,11,3/27/13,4.80
SIM-LR,5,6/27/13,4.10
AL07NB0001,11,7/4/13,13.60
NW07QA0004,12,7/15/13,12.40
AL07NB0001,11,7/24/13,13.00
WRG-MR,15,7/10/14,6.70
AL07NB0001,11,7/22/14,9.60
SIM-MR,6,7/24/14,6.40
AL07NB0001,11,9/16/14,6.10
RES-SR,4,9/23/14,6.80
NW10LA0003,9,2/17/15,4.10
NW10LA0003,9,4/14/15,4.70
AL07NB0001,11,6/2/15,7.80
NW07QA0004,12,6/6/15,5.90
AL07NB0001,11,7/1/15,5.10
PRV-D/S,1,7/15/15,5.00
SIM-MR,6,7/23/15,5.20
WRG-MR,15,7/30/15,6.80
PRV-D/S,1,8/12/15,5.70
TSI-AR,13,9/9/15,12.60
PRV-U/S2,2,9/11/15,6.60
PRV-U/S2,2,9/11/15,6.50
RES-SR,4,9/15/15,4.80
PRV-U/S2,2,9/16/15,6.70
AL07NB0001,11,9/22/15,5.50
AL07NB0001,11,9/22/15,5.30
AL07NB0001,11,9/22/15,5.40
RES-SR,4,10/15/15,3.90
RES-SR,4,10/15/15,4.00
NW10LA0003,9,1/5/16,10.40
AL07NB0001,11,3/22/16,3.90
AL07NB0001,11,5/31/16,4.30
NW10LA0003,9,6/18/16,6.10
NW07OB0002,8,7/10/16,29.70
NW07OB0002,8,7/10/16,29.60
TSI-MR,14,7/13/16,5.60
SIM-LR,5,7/21/16,5.50
PRV-D/S,1,8/12/16,5.40
SIM-LR,5,8/19/16,3.10
SIM-MR,6,8/19/16,5.20
NW07OB0002,8,8/31/16,28.50
NW07OB0002,8,9/7/16,28.40
TSI-MR,14,9/12/16,0.60
NW07OB0002,8,9/14/16,26.20
NW07OB0002,8,9/14/16,26.40
NW07OB0002,8,9/14/16,26.20
AL07NB0001,11,9/20/16,15.40
AL07NB0001,11,10/18/16,6.00
AL07NB0001,11,2/22/17,3.78
NW10LA0003,9,4/25/17,3.90
NW10LA0003,9,6/7/17,7.00
NW07OB0002,8,6/15/17,20.50
NW07OB0002,8,6/15/17,20.50
AL07NB0001,11,6/26/17,9.30
PRV-U/S2,2,7/12/17,5.70
NW07OB0002,8,7/17/17,26.40
NW07OB0002,8,7/17/17,26.30
NB-U/S,10,7/19/17,2.20
AL07NB0001,11,7/25/17,7.40
AL07NB0001,11,7/25/17,7.36
RES-CC,3,7/26/17,6.90
RES-CC,3,7/26/17,7.10
STH-SRA,7,7/28/17,7.70
SIM-MR,6,8/14/17,6.10
SIM-LR,5,8/17/17,0.90
SIM-LR,5,8/17/17,4.20
AL07NB0001,11,8/21/17,3.41
AL07NB0001,11,8/21/17,5.90
RES-CC,3,8/22/17,8.90
STH-SRA,7,8/23/17,6.50
PRV-D/S,1,8/24/17,0.50
PRV-U/S2,2,8/24/17,5.70
AL07NB0001,11,9/11/17,4.47
AL07NB0001,11,9/11/17,5.20
NW07QA0004,12,9/13/17,4.60
NW07QA0004,12,9/13/17,4.70
NW07OB0002,8,9/14/17,23.00
RES-CC,3,9/19/17,4.70
STH-SRA,7,9/20/17,4.40
NB-U/S,10,9/20/17,1.90
NW10LA0003,9,9/26/17,4.50
AL07NB0001,11,10/17/17,7.70
AL07NB0001,11,2/18/18,3.62
AL07NB0001,11,2/18/18,4.40
AL07NB0001,11,5/28/18,8.20
NW10LA0003,9,5/30/18,7.20
NW07QA0004,12,6/13/18,4.90
NW10LA0003,9,6/18/18,4.80
AL07NB0001,11,6/26/18,11.40
SIM-LR,5,7/5/18,7.70
TSI-AR,13,7/5/18,5.50
RES-SR,4,7/11/18,8.30
PRV-U/S2,2,7/12/18,10.20
WRG-MR,15,7/19/18,5.60
AL07NB0001,11,7/23/18,11.30
AL07NB0001,11,7/23/18,10.90
NB-U/S,10,8/1/18,1.10
RES-CC,3,8/14/18,11.40
PRV-D/S,1,8/20/18,5.00
PRV-U/S2,2,8/20/18,10.50
AL07NB0001,11,8/20/18,7.60
AL07NB0001,11,8/20/18,6.69
TSI-AR,13,8/22/18,7.20
TSI-MR,14,8/22/18,5.30
WRG-MR,15,8/22/18,4.50
SIM-MR,6,8/30/18,13.90
WRG-MR,15,8/30/18,4.20
NB-U/S,10,9/13/18,1.00
AL07NB0001,11,10/16/18,5.98
AL07NB0001,11,10/16/18,5.80
AL07NB0001,11,1/21/19,4.40
AL07NB0001,11,1/21/19,4.12
AL07NB0001,11,2/17/19,3.29
AL07NB0001,11,2/17/19,3.30
AL07NB0001,11,6/24/19,4.38
NW07QA0004,12,8/11/20,10.80
NW07QA0004,12,9/16/20,11.20
NW07RD0001,16,1/17/00,2.4
NW07RD0001,16,4/10/00,2.8
NW07RD0001,16,6/17/00,2.6
NW07RD0001,16,8/23/00,2.8
NW07RD0001,16,8/25/01,2.4
NW07RD0001,16,8/16/02,2.4
NW07RD0001,16,2/11/03,3.1
NW07RD0001,16,5/7/03,2.7
NW07RD0001,16,6/10/03,2.4
NW07RD0001,16,8/14/03,2.6
NW07RD0001,16,5/7/04,5.1
NW07RD0001,16,6/15/04,2.6
NW07RD0001,16,9/1/04,2.2
NW07RD0001,16,5/13/05,2
NW07RD0001,16,5/13/05,2
NW07RD0001,16,6/9/05,3.6
NW07RD0001,16,9/21/05,2.8
NW07RD0001,16,4/28/06,2.5
NW07RD0001,16,6/20/06,2.3
NW07RD0001,16,8/24/06,1.8
NW07RD0001,16,6/21/07,2.7
NW07RD0001,16,9/27/07,3.5
NW07RD0001,16,6/23/08,2.4
NW07RD0001,16,9/22/08,2.1
NW07RD0001,16,7/3/09,2.3
NW07RD0001,16,8/20/09,2.8
NW07RD0001,16,1/12/10,2.6
NW07RD0001,16,6/16/10,2.5
NW07RD0001,16,9/9/10,2.3
NW07RD0001,16,1/19/11,2.7
NW07RD0001,16,6/18/11,2.4
NW07RD0001,16,9/14/11,2.3
NW07RD0001,16,1/19/12,2.6
NW07RD0001,16,6/6/12,3.6
NW07RD0001,16,8/27/12,2.8
NW07RD0001,16,3/6/13,2.8
NW07RD0001,16,6/13/13,2.9
NW07RD0001,16,9/7/13,2.8
NW07RD0001,16,3/19/14,2.9
NW07RD0001,16,6/16/14,2.8
NW07RD0001,16,9/17/14,2.5
NW07RD0001,16,1/13/15,2.3
NW07RD0001,16,1/13/15,2.5
NW07RD0001,16,7/17/15,2.4
NW07RD0001,16,10/6/15,2.8
NW07RD0001,16,3/21/16,2.5
NW07RD0001,16,7/8/16,2.1
NW07RD0001,16,9/20/16,2.6
NW07RD0001,16,2/9/17,2.5
NW07RD0001,16,7/18/17,2.7
NW07RD0001,16,9/7/17,2.8
NW07RD0001,16,2/22/18,2.4
NW07RD0001,16,6/29/18,2.4
NW07RD0001,16,9/13/18,2.9
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,
NW07RD0001,16,,